Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.367003755,103.9462635,22/2/2018,11:34:00 AM,Roadworks on Tampines Avenue 12 (towards TPE). Avoid left lane.
Roadwork,1.388883518,103.7591528,22/2/2018,11:32:00 AM,Roadworks on KJE (towards PIE) at Woodlands Rd Exit.
Roadwork,1.409457801,103.8293755,22/2/2018,11:30:00 AM,Roadworks on Lentor Avenue (towards Yishun Avenue 1) after SLE. Avoid right lane.
Roadwork,1.399402719,103.8562824,22/2/2018,11:29:00 AM,Roadworks on TPE (towards SLE) at Seletar West Link Exit.
Vehicle breakdown,1.342522689,103.982283,22/2/2018,11:27:00 AM,Vehicle breakdown on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 5.
Roadwork,1.312143474,103.7720192,22/2/2018,11:26:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Clementi Avenue 2. Avoid right lane.
Roadwork,1.339251918,103.7766567,22/2/2018,11:24:00 AM,Roadworks on Upper Bukit Timah Road (towards Bukit Timah Avenue) after Pei Wah Avenue. Avoid right lane.
Roadwork,1.312143484,103.7724389,22/2/2018,11:20:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid right lane.
Roadwork,1.319642477,103.8255227,22/2/2018,11:17:00 AM,Roadworks on Stevens Road (towards Bukit Timah Road) after Robin Close. Avoid right lane.
Roadwork,1.31210504,103.77209,22/2/2018,11:15:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Clementi Road. Avoid right lane.
Roadwork,1.308875252,103.7827251,22/2/2018,11:14:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Avenue. Avoid left lane.
Vehicle breakdown,1.363094923,103.9583813,22/2/2018,11:13:00 AM,Vehicle breakdown on TPE (towards SLE) after Tampines Ave 7 Exit.
Roadwork,1.334321883,103.9571952,22/2/2018,11:13:00 AM,Roadworks on Upper Changi Road East (toward Changi) after Simei Avenue. Avoid right lane.
Roadwork,1.329464637,103.7639897,22/2/2018,11:11:00 AM,Roadworks on Clementi Avenue 6 (towards PIE) after Clementi Loop. Avoid left lane.
Roadwork,1.286738377,103.8615708,22/2/2018,11:11:00 AM,Roadworks on Sheares Avenue (towards Sheares Link) after ECP. Avoid right lane.
Roadwork,1.30824439,103.7838317,22/2/2018,11:10:00 AM,Roadworks on Commonwealth Avenue West (towards Tuas) after Dover Rise. Avoid left lane.
Roadwork,1.308398037,103.78363,22/2/2018,11:09:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Ghim Moh Link. Avoid right lane.
Roadwork,1.351608459,103.8785556,22/2/2018,11:08:00 AM,Roadworks on Upper Paya Lebar Road (towards Lorong Ah Soo) after Jalan Chermat. Avoid right lane.
Roadwork,1.362548171,103.8877207,22/2/2018,11:05:00 AM,Roadworks on Upper Serangoon Road (towards City) after Hougang Avenue 3. Avoid right lane.
Roadwork,1.307744347,103.9199831,22/2/2018,11:05:00 AM,Roadworks on Marine Parade Road (towards Marine Terrace) after Marine Vista.
Roadwork,1.369014661,103.8948415,22/2/2018,11:04:00 AM,Roadworks on Hougang Avenue 5 (towards Hougang Central) after Upper Serangoon Road. Avoid right lane.
Roadwork,1.35432899,103.8487035,22/2/2018,11:03:00 AM,Roadworks on Bishan Road (towards Bishan Street 22) after Ang Mo Kio Avenue 1. Avoid left lane.
Roadwork,1.357897235,103.882709,22/2/2018,11:03:00 AM,Roadworks on Upper Serangoon Road (towards City) after Hougang Street 21.
Roadwork,1.309857261,103.7812097,22/2/2018,11:01:00 AM,Roadworks on Commonwealth Avenue West (towards City) after Clementi Road. Avoid right lane.
Roadwork,1.29493501,103.8498398,22/2/2018,11:00:00 AM,Roadworks on Stamford Road (towards Fort Canning Link) after Victoria Street. Avoid right lane.
Roadwork,1.373151668,103.898749,22/2/2018,11:00:00 AM,Roadworks on Upper Serangoon Road (towards Sengkang) after Hougang Central. Avoid left lane.
Roadwork,1.36443188,103.8523412,22/2/2018,10:59:00 AM,Roadworks on Ang Mo Kio Avenue 8 (towards Ang Mo Kio Avenue 1) after Ang Mo Kio Street 41. Avoid left lane.
Roadwork,1.373732348,103.8994995,22/2/2018,10:59:00 AM,Roadworks on Upper Serangoon Road (towards City) after Buangkok East Drive. Avoid right lane.
Roadwork,1.338729461,103.9758074,22/2/2018,10:58:00 AM,Roadworks on PIE (towards Changi Airport) before ECP. Avoid lane 4.
Roadwork,1.29054675,103.8629239,22/2/2018,10:57:00 AM,Roadworks on Raffles Avenue (towards Bayfront Avenue) after Raffles Boulevard. Avoid right lane.
Roadwork,1.338437737,103.7475475,22/2/2018,10:56:00 AM,Roadworks on Toh Guan Road near PIE/Toh Guan Road Junction.
Roadwork,1.353839235,103.8336691,22/2/2018,10:56:00 AM,Roadworks on Upper Thomson Road (towards SLE) after Jalan Pelatina. Avoid left lane.
Roadwork,1.281533999,103.8385151,22/2/2018,10:55:00 AM,Roadworks on Outram Road (towards Second Hospital Avenue) after Outram Park. Avoid right lane.
Roadwork,1.290566636,103.7694611,22/2/2018,10:55:00 AM,Roadworks on West Coast Highway (towards Tuas) after Wholesale Centre. Avoid left lane.
Roadwork,1.288652043,103.7751028,22/2/2018,10:54:00 AM,Roadworks on West Coast Highway (towards Tuas) after Wholesale Centre.
Roadwork,1.293011479,103.8558662,22/2/2018,10:53:00 AM,Roadworks on Nicoll Highway (towards Shenton Way) after Raffles Boulevard. Avoid left lane.
